number,close_notes
INC1261463,"Confirmed with Chris on Closure. 
Security Task is REQ0218993"
INC1260639,Redundant
INC1260638,"Redundant
"
INC1260439,"HCI Connection Failure

reran Manually"
INC1259953,Reran manually
INC1259952,"Manually Reran
"
INC1259951,Reran Manually.
INC1259886,restarted
INC1259377,Confirmed by Elisa. she is able to convert the order successfully on GUI Board
INC1259071,Checked with Tim. The key figure is working properly
INC1258971,Reran manually
INC1254257,"Redundant
"
INC1254254,Redundant
INC1253931,"Manual rerun
"
INC1253831,"Step 22 Failure

Re-ran manually"
INC1253305,The SKU is working as designed. The effecitivity date is not coming as the given SKU is not RE
INC1252933,"Connection Error

Reran Manually"
INC1252923,Reran Manually
INC1252323,"Issue: Disconnection in recoginze actualize shipment between IBP and OA system.

Fix: Explained Mandy the Shipment date which is captured and the split if Tech Week is referenced. She is aligned and confirmed on closure"
INC1252129,Manual Rerun
INC1250957,Reran Manually
INC1250946,RERAN MANUALLY
INC1250806,"issue: Interface was locked by user 

Fix: reran the interface and was successful "
INC1250442,"Hi Omaira,

As discussed, since this is working as designed per the current config settings, I would be closing this ticket.  Please work with Joel and Kedar to route the design/config change through appropriate channel.

Thanks
Vijay"
INC1250348,PPR run was completed. Confirmed with Lyndsey that the ticket can be closed
INC1249183,Retriggered Manually
INC1248251,Redundant WF
INC1248250,Redundant WF
INC1247921,"issue- Demand weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1247797,Re-ran the job manually
INC1246990,"issue- Supply bi-weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1246970,"issue- Supply bi-weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1246895,Reran the job
INC1246828,"Discussed with Omaira to mark this ticket as resolved as The examples are working as expected.  Sent the explanation in email.  
Omaira would connect with Roger to get more insights and would reach out in case of any open questions"
INC1246139,"issue- Supply daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1246098,"issue- Demand daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1245961,Confirmed with Joe that this ticket can be closed
INC1245859,"As discussed with Jacklyn, marking this ticket as resolved as the root cause of the issue lies in the changes of the master data for components (advanced planning flag switched off). Resolution is to delete and recreate the order manually (For fixed orders) or wait for the weekend run to clear old orders and create new orders"
INC1245242,"issue- Supply bi-weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger
"
INC1244865,"Issue: 210038590 is not allowing me to firm in production in GUI @ 1101. Needing this resolved as soon as possible

Fix: Confirmed by Lyndsey to close."
INC1244132,"issue- Supply daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1244122,"issue- Supply daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1242763,"issue- Supply weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1242762,"issue- Supply weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1242760,"issue- Supply weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1242611,Short dump is caused on any old orders which were in place before the advanced planning was switched off on one of the component. The resolution is to delete and recreate the order. Or just use the workaround (of not double clikcing on the order but use the button click to see order details)
INC1242539,"issue- Supply weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1242194,"Triggered manually
"
INC1242178,Triggered manually
INC1242059,"issue- Demand weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1242012,"issue- Demand weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1241457,"connected with Prerark and Carol
STR were created successfully 
The date in file was 10/02 which caused the disconnect."
INC1241195,"issue- Supply bi-weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1240889,Confirmed with Sanjeet to close this incident. This is not a technically broken.  Sanjeet would work with respective team to correct marketing exclusion (which is preventing the SKU to com into IBP - Details sent over email)
INC1240239,"issue- Supply daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1239921,Confirmed with Lynn to close this as there is no technical break fix. Lynn with work with customer service to correct source master data (As required)
INC1239912,Confirmed with Lynn she can see this material (after maintaining dummy values). She would check her planning view to load all rows (instead of hiding blank and empty rows ) to fix the problem for future SKUs
INC1239880,"Issue: Update production costs for 1118

Fix: Costs updated, Sharlyn confirmed on closing the incident"
INC1238039,Discussed with Prerak over teams and the issue is resolved by clearing and reentering the manual override. The manual override value was being populated at aggregated level and it was not disaggregated to all combinations. The requirement was for it to disaggregate to all combinations which was achieved by clearing and reentering the manual override
INC1237920,Confirmed with Tim. He is able to see the intransit now. Thus closing this ticket
INC1237385,"Connected with Sarah , Melissa and Akshay. The issues seems to be auto -resolved after the weekend run. Thus marking the ticket as resolved"
INC1236785,"issue- Supply weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1236784,"issue- Supply weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1236783,"issue- Supply weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1236186,Restarted Manually
INC1236157,Triggered Manually
INC1235384,"issue- Supply Bi-weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1234506,"issue- Supply daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1234504,"issue- Supply daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1234502,"issue- Supply daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1234422,Job was manually cancelled by Gallo IT. The job has been restarted
INC1234166,"Issue: system isn't making production recommendations for Certain SKUs

RCA: Setup group was missing in Master Data

Fix: MD corrected and product heuristic was run on the SKUs. Rita confirmed on closure"
INC1233403,Validated that this has been moved to production
INC1232722,"Issue: SKUs not available in Demand

Fix: Master data corrected and these are now available in Demand for use."
INC1232271,"issue- Demand Daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1231611,Redundant Steps
INC1231610,Redundant State
INC1231594,"Issue: Error in Demand state SoCal and MARDC forecast.

Fix: reran the entire stat forecast run for all three levels. confirmed by Todd to close"
INC1231275,Manual Action Taken
INC1231267,"
Issue- Job failed in IBP
Reason- SAP Maintenance downtime
Fix- Manual Re-trigger
"
INC1231266,"Issue- Job failed in IBP
Reason- SAP Connection issue,System was down.
Fix- Manual Re-trigger
"
INC1231265,"issue- Supply weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1231257,SAP System Downtime
INC1231254,SAP System Downtime
INC1231253,SAP IBP System Downtime
INC1231250,SAP IBP System Downtime
INC1231249,SAP IBP System Downtime
INC1231240,Manual Run
INC1231176,"issue- Demand weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger
"
INC1231105,"issue- Demand weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1231104,"issue- Demand weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1231081,"Issue- Job failed in IBP
Reason- SAP Maintenance downtime
Fix- Manual Re-trigger
"
INC1231080,"Issue- Job failed in IBP
Reason- SAP Maintenance downtime
Fix- Manual Re-trigger
"
INC1230994,"issue- Demand weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1230976,Resolved Manually
INC1229813,Ad-Hoc PPR for the 41 SKUs mentioned completed for plant 1100
INC1229641,"Manual Run  for Loc Prod purge list, Cancelled Manually"
INC1229301,"issue- Supply daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1229243,"issue- Demand Daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1228475,"issue- Supply Bi-weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1227566,Closed
INC1227254,"issue- Supply daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1227008,"Closing this as Lynn confirmed, she is able to enter the forecast for this SKU now for YC Inventory Code"
INC1226654,"Validated the network and costs. It looks good. 
Did a subnetwork run for this SKU after removing lot size. The overdeployment issue was resolved with the non lot sized run.
As a permanent fix, this would be resolved once new business process to run optimizer without lot sizing is started. Thus as discussed, closing this ticket currently"
INC1226240,"issue- Supply weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1225945,"issue- Demand weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1225944,"issue- Demand weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1225857,Have shared the instructions to gain access with Manan. The request needs to be routed through security team
INC1225044,"issue- Supply bi-weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1224335,"Job Failed due to SAP Production System was not responding

Retriggered the job after s4 was back online"
INC1224305,Close notes copied from Parent Incident: P01 system is up and running and User has confirmed on the same.
INC1224246,"Job Failed due to SAP Production System was not responding

Retriggered the job after s4 was back online"
INC1224093,"issue- Supply daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1220899,"issue- Demand weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger
"
INC1220898,"issue- Demand weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1220897,"issue- Demand weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1220373,"Issue: Base SKU 4412OS is causing over deployment to PA. Currently it has 33 DOS. No Safety stock. Today's deployment recommendation is 256 which is going to be 80 DOS.

Fix: Maade changes in as suggested by SAP. max transport receipt constraint to limit the transport receipt to 1125_0070

Rajshree confirmed on closing"
INC1219548,Confirmed with Sharlyn. This is working as expected now. Thus closing the ticket now
INC1218915,Confirmed moved to production. Confirmed with user. 
INC1218111,"Created a problem ticket: PRB0043199 for this.

Will be tracked as a problem as we currently have a workaround in place. (Workaround: Manual CCR for the orders)"
INC1217873,Received confirmation from Tim the data looks good. So closing ticket
INC1217207,validate with user. The SKUS look good after applying max transport constraint
INC1217168,The ticket is created now. However the step had failed in the morning and it was restarted manually. Thus closing the incident
INC1217029,"Hi,

Confirmed with Rajshree. The plan is looking good now. So closing the ticket"
INC1216256,"Issue: SQL execution error when trying to pull data from the system. (Key Figure - Shipment Forecast adjusted ref)

RCA: Key figure calculation was taking one condition (loc id = 1826) as number. 

Fix: corrected the KF calculation (syntax). Confirmed from Pablo to close."
INC1216041,Resolved overdeployment by maintaining a max constraint. User confirmed the plan looks good and gave confirmation for closing this incident
INC1215372,Resolved by triggering jobs manually
INC1214700,"triggered job manually
"
INC1214271,"Issue- Job failed in IBP
Reason- SAP Maintenance downtime
Fix- Manual Re-trigger
"
INC1214152,Triggered job manually
INC1214151,Triggered job manually
INC1214150,Triggered job manually
INC1213947,"Confirmed with Chris, this is working fine after the weights were updated after weekend run"
INC1213411,"issue- Demand daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1213410,"issue- Demand daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1212100,promoted to production on 9/2
INC1212098,"Confirmed with Sharlyn, This working as expected now after maintaining age at plant indicator. Closing this ticket as resolved"
INC1211057,"issue- Supply Bi-weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1210494,Cleared the locked forecast with help of basis. Once cleared the forecasts are now in sync with IBP
INC1210065,"We had a call with Omaira,

The issue with Teco was resolved and omaira is unblocked. We would continue to review one other error code 173 with basis team"
INC1209813,"issue- Demand daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1209812,"issue- ORI Jobs werent triggered.
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1209645,User confirmed the plan looks good this week with the provided explanation. Thus closing the ticket
INC1209212,"Duplicate.

Tracking the change on INC1185001"
INC1207588,"issue- Demand Weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger
"
INC1207587,"issue- ORI Jobs werent triggered
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1207586,"issue- Demand weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger
"
INC1206283,"issue-ORI jobs werent triggered
Root cause- Steps failed in Automic
Fix- Manual re-trigger
"
INC1206282,"issue- Demand daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger
"
INC1205245,"issue-ORI jobs werent triggered
Root cause- Steps failed in Automic
Fix- Manual re-trigger
"
INC1205244,"issue- Demand daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1204566,Confirmed with Jenna on teams the forecast is looking good.
INC1203618,"Ad hoc run resolved the issue. Sarah confirmed that manually running product heuristic solved this issue.

Since this incident has a workaround and we are working on the permanent fix as part of another incident, I am marking this incident closed"
INC1203494,Confirmed with Sharlyn. THis is working as expected and can be closed
INC1202873,"As discussed with Jacklyn closing this INC and will be tracked as Service Request
REQ0206671"
INC1202621,"Ajit helped resolve the issue - root cause  Production version was a complete overlap for entire horizon. As per designed production version, it should not be overlap. This caused no VSF. "
INC1202247,"Hi Carol,

The 2 mentioned SKUs were resolved with the ad-hoc run with subnetwork. As a permanent solution, we are working on the demand to get subnetwork run setup as a regular process"
INC1201785,Manually ran the job
INC1201537,Issue was caused by 2008 upgrade. SAP provided a fix by updating phase in end date. We did that change and rerrun the model. It fixed the issue
INC1201430,It looks like this ticket was auto created by Dave Salzer when he was looking at a knowledge article in ServiceNow
INC1199682,SAP Upgrade completed. Jobs resumed
INC1199676,SAP Upgrade completed. Jobs resumed
INC1199634,SAP Upgrade completed. Jobs resumed
INC1199633,SAP Upgrade completed. Jobs resumed
INC1199628,"issue- ORI Jobs will be manually created
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1199627,"issue- Demand weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1199626,"issue- Deman weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger
"
INC1199123,DOne
INC1199092,"Hi Lynn,

We discussed, the shipment forecast overrides are not wiped out but based on design they do not flow in shipment forecast adjusted (reference). Now since Alberta is a V market, currently depletion forecast netted is flowing into shipment forecast adjusted (reference). I will connect with you to discuss. However since this is not a break-fix, I am resolving this incident for now."
INC1198656,"issue- Demand daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1198655,"issue- ORI Jobs werent triggered.
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1197561,"issue- ORI Jobs werent triggered.
Root cause- Steps failed in Automic
Fix- Manual re-trigger
"
INC1197560,"issue- Demand daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger
"
INC1196956,"Issue: Incorrect plan for SKU mentioned

RCA: Missing VSFs on monday.

Fix: Ran ad-hoc PPR for 1100 with new VSF. Based on Session with Vijay. Rita and Sarah."
INC1196905,"Issue: PPR failure at Full Material level.  - 0947526OS 

Fix: Ran PPR for 1100. Confirmed by Sarah to close"
INC1196855,"As discussed with Rajshree in the meeting (with Melissa , Rajsreeh, Omaira and Sarah), that Rajshree would perform deployment earlier in the day over next 2 weeks to identify an example of over deployment for rework

As workaround exists for this, Rajshree confirmed with closing this ticket and will be tracking this as a Problem - PRB0043095"
INC1196570,"issue- Ori jobs werent triggered
Root cause- Steps failed in Automic
Fix- Manual re-trigger
"
INC1196569,"issue- Demand daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger
"
INC1196361,Closing based on confirmation from Lyndsey
INC1196358,Reduced the lot size so that it can be planned in a 5 day week.
INC1196353,Confirmed with Omaira 7165 looks good now with OOS.  Made an automatic cost adjustment on this SKU
INC1195572,"issue- Demand daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger
"
INC1195568,"issue- ORI jobs werent riggered
Root cause- Steps failed in Automic
Fix- Manual re-trigger
"
INC1194250,"Oliver to maintain overrides for affected weeks

"
INC1193411,"issue- Demand Weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger
"
INC1193410,"issue- ORI Jobs werent triggered
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1193408,"issue- Demand Daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1190641,"issue- Suppy Bi-weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger
"
INC1190527,"issue- Demand daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1190526,"issue- Demand daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger
"
INC1189169,confirmed with Samantha. SKU is planning correctly after source list update. Thus closing the ticket
INC1189148,"As this is not a system break-fix in IBP but a request to update eligibility, we would be closing this incident.

We will track this request through a service request
TASK0292793 (REQ0201655 ) and Mariana is working on the same."
INC1188276,Ajit validated and aligned the results with business We are good to close this ticket as planning appropriately
INC1188089,"issue- ORI Jobs werent triggered
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1188088,"issue- Demand weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1188087,"issue- Demand weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1187305,"issue- Supply Bi-weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1186857,"Hi Sam,

As discussed, the issue with mentioned SKUs was resolved after running the CIF cleanup.  Thus we will close this incident.

As a process, currently the CCR is run everyday once a day. We will create a request to setup CCR more frequently"
INC1186831,"HI Sharokena

As this is not a break fix in IBP, but a request to update eligibility, we would close this ticket. 

it is being tracked as a service request - TASK0291665 (REQ0200755)"
INC1186705,"As this is not a system break-fix in IBP but a request to update eligibility, we would be closing this incident.

We will track this request through a service request
TASK0291653 (REQ0200738) and Mariana is working on the same."
INC1186453,"issue- Supply daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1186317,"Hi Lynn.

We have an open incident with master data taem for this issue - INC1183358

Thus we would mark this ticket as duplicate and cancel. I will keep you posted on the progress of that ticket over email"
INC1186204,"Hi Carol,

Following are some of the reasons which may cause a seemingly high deployment recommendation

1. Inventory target at the RDCs - IBP optimizer would try to meet inventory target at the RDCs across 800 day horizon (more than next 2 years). It would try to ensure that RDC never in next 2 years dips below inventory target. This may cause a seemingly high deployment recommendation in the short term, but it might be required for long term
2. Open STOs in S4 - Optimizer considers any open STO in S4 as the ""Minimum quantity "" to be sent to the RtsDC
3. Independent demand changes
4. Minimum lot size quantities - Optimizer would anything in lot sizes even tough the requirement is low, it would send in lot size quantities.

For now I would close this incident as issue is not reproducible in the mentioned SKU. Please review above reasons, if you still find any anomalies, please create a new incident for the same/email with the example

Thanks
Vijay"
INC1185914,"we are currently working on enhancement of the VSF interface to solve this issue and would be tracking that as a problem PRB0043032

I am closing this ticket as we have a workaround for this in place:
Workaround: Manually run the VSF interface for this product in filter if VSFs are not generated."
INC1185823,"Workaround present, will be tracked as Problem: PRB0043071"
INC1185537,Resolved. Job Re-ran manually
INC1185350,"
issue- Supply bi-weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1185345,"Issue: Product ID 02895CI is this week visible in IBP Demand under Planning Material 03604 instead of 02895

RCA: Product master data mismatched and master data was corrected by the team."
INC1185001,promoted to production on 9/2
INC1183779,Checked with todd. Data looks better after ad-hoc publish. Thus closing the ticket
INC1183294,"As discussed with Lynn and Mariana, closing this ticket currently. These products are not fully setup in SAP. Lynn will work with the scrum team on the timeline for these SKUS to be setup in SAP. SInce this is not an issue with IBP, we are closing this ticket."
INC1182889,"issue- Demand Weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1182888,"issue- Demand weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger
"
INC1182649,"Issue: New Setup

As this is a new setup request, as discussed with the team, closing this incident and this will be tracked as service req: REQ0206985"
INC1182275,"Attached the document providing the explanation for the above SKUs for premature and negative plan output.
Closing this incident as all products can be explained by the reasons in the document. Also had a user session to explain. Thus as discussed in BRM meeting closing this incident"
INC1182271,"VSF are available. For further analysis, we would continue using other ticket wtih further analysis"
INC1181611,"Issue: high quantity FC Req causing a random bottling quantity. for sku: 210033905
RCA: The mentioned full SKU 210033905 has PMIC 3824OS
We see for the PMIC - 000000000000003824OS, starting 02 Nov 2020, another Full SKU 0382420OS has a production version to create the same PMIC

Fix: master data was corrected and Lyndsey confirmed on closing"
INC1180930,"Issue: SKU is not planning at 1118

RCA: Ship of the Line indicator was not maintained. 

Fix: It was corrected. Sharlyn confirmed to close"
INC1180327,"issue- Demand daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger
"
INC1180326,"
issue- ORI jobs werent triggered
Root cause- Steps failed in Automic
Fix- Manual re-trigger"
INC1179696,The statistical forecast is permanently resolved. This week run is resolved with ad-hoc publish to supply chain and EDW
INC1179301,Resolved the error and ran manually
INC1179211,"issue- PPDS daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger
"
INC1179184,"issue- ORI jibs werent triggered
Root cause- Steps failed in Automic
Fix- Manual re-trigger
"
INC1179183,"issue- Demand daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1178658,"The PPR run output was analyzed and reviewed by planners, Most SKUs were fine except a few exceptions. Business would open a different ticket for those issues as they are unrelated to the PPR run."
INC1178566,"Issue: Remove Marketing Eligibility 

Fix: SCA fixed it. Confirmation received from Mariana on closure"
INC1177640,Will be triggered Manually
INC1177639,Will Be Triggered Manually
INC1177638,Triggered Manually
INC1177624,"issue- PPDS daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger
"
INC1177346,"As this is not a system break-fix in IBP but a request to update eligibility, we would be closing this incident.

We will track this request through a service request
TASK0291657 (REQ0200741) and Mariana is working on the same."
INC1176738,"issue- PPDS daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger
"
INC1176713,"issue- ORI Jobs werent triggered.
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1176712,"issue- Demand daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1175586,"issue-Demand daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1175585,"issue- ORI jobs werent triggered.
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1175579,"issue- PPDS daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger
"
INC1175320,"Connected with user. The GUI board is working fine now, after logging off and logging back in. The issue was temporary probably due to S4 System becoming unavailable."
INC1174391,"issue- PPDS daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger
"
INC1174345,will be triggered  manually
INC1174344,"Workflow error.
Resolved
"
INC1174078,SKU seems to be planning appropriately today based on the demand released from IBP
INC1173667,Spoke to Sanjeet. This is a standard behavior where combinations (product - distributors) not having overrides have statistical forecast in shipment forecast (adjusted).  Sanjeet has reviewed/redo the overrides and the issue is resolved
INC1173135,"issue- PPDS daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1173107,"Resolved, ran the job manually"
INC1173106,"Will Be triggered manually
"
INC1172691,"Issue: Incorrect planned orders

Fix: PPDS run solved the issue. CLosing the ticket
"
INC1171913,"Issue: Wrong entries in Shipment Forecast
RCA: a bug with global settings
Fix: Fixed global settings and did an Ad-Hoc run to clear our the wrong forecast."
INC1171826,Triggered Manually
INC1171431,"Will be triggered manually
"
INC1171430,Resolved
INC1171372,Manual run
INC1170489,"issue- PPDS daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger
"
INC1170455,"issue- ORI Jobs were not triggered
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1170454,"issue- Demand daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1170157,"Issue: SKU not planning correctly

RCA: The VSFs changed mid week, as Firm planned orders were changed. additon or removal of firm/fixed planned orders would cause change in VSF sent back from IBP to S4. Also it would impact future bottlings (IBP suggessted output) as frozen horizon in IBP would change.

Fix: ran ad-hoc product heuristic and Annabelle confirmed that it is now planning correctly"
INC1169865,"As this is not a break fix in IBP, but a request to update eligibility, we would close this ticket. 

it is being tracked as a service request - TASK0291659 (REQ0200746)"
INC1169418,"issue- Supply daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1169376,"issue- PPDS daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1169354,"issue- Demand daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger
"
INC1169353,"issue-ORI Jobs werent triggered
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1168817,Checked with Sharlyn. Skus are planning correctly after cost setup. Thus closing this ticket
INC1168649,New Key Figure added to the MOD Protect and Melissa Validated the results. Confirmation received on closure
INC1168377,"issue- Supply Bi-weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1168322,"issue- PPDS daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1168268,"issue- ORI Jobs werent triggered.
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1168267,"issue-Demand daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1167736,"THe ticket is with Gallo IT for installation of latest IBP Add-in  (INC1167900), No action from IBP team"
INC1167498,"issue- Supply daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1167466,"issue- PPDS daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1167437,"issue- Demand daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1167436,"issue- ORI Jobs werent triggered.
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1167142,"Issue: Capacity visible only upto 2021 Feb

RCA: Date hard coded in program Variant

Fix: changed the date uptil 2022 in the Variant. Annabelle confirmed that Capacity is now Visible till 2022"
INC1166752,Chris confirmed over teams that this looks good now and hence marking the ticket as resolved
INC1166170,"issue- Supply Weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger
"
INC1165858,"issue- Demand weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1165857,"issue- Demand weekly wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger
"
INC1165833,"Issue- Job failed in IBP
Reason- SAP Maintenance downtime
Fix- Manual Re-trigger"
INC1165832,"Issue- Job failed in IBP
Reason- SAP Maintenance downtime
Fix- Manual Re-trigger
"
INC1165642,"issue- PPDS daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1165192,"issue- PPDS daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1165166,Will be triggered manually
INC1165165,"Triggered Job Manually
"
INC1164202,"issue- PPDS daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1163142,"Job failure in Automic.
Ran further steps"
INC1163105,"issue- PPDS daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1161713,"issue- PPDS daily wf failed
Root cause- Steps failed in Automic
Fix- Manual re-trigger

"
INC1161449,"Hi,

Spoke to Sharlyn over teams. The SKU is being planned as expected. Thus marking this ticket as resolved.

For future reference, when production is moving from 1100 to 1118, please send an email notification to run team/ajit to adjust the production cost in IBP

Thanks
Vijay"
INC1160700,The issue is resolved. The master data for was missing - BOM was missing from LN 22 while a routing was present on LN22. Lyndsey deleted the line 22 routing and then did the PDS transfer. This resolved the issue. Thus closing this ticket
INC1159794,Manual Run
INC1159791,"WIll have to trigger manually
"
INC1159763,"Will be manually triggered
"
INC1159762,"Issue: Job Failure due to COpy operator not assigned to PA.
Correct and triggered job manually
"
